"","2003 Base","2003 lci","2003 uci","2004 Base","2004 lci","2004 uci","2005 Base","2005 lci","2005 uci","2006 Base","2006 lci","2006 uci","2007 Base","2007 lci","2007 uci","2008 Base","2008 lci","2008 uci","2009 Base","2009 lci","2009 uci","2010 Base","2010 lci","2010 uci","2011 Base","2011 lci","2011 uci","2012 Base","2012 lci","2012 uci"
"0-23",0.0273022474872516,1.45220401472051e-09,0.203732690046883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000917175733744331,5.00665183110996e-306,NA,0.000669301667032693,0,NA,0.000365985316083907,0,NA
"24-29",0.194535490360024,9.98665759177538e-05,1.20679018410504,0,0,0,0.0922254512107846,5.15779854396951e-05,0.480743101866957,0,0,0,0,0,0,0,0,0,0,0,0,0.00295649590419081,1.72957062466633e-305,NA,0.00230215472951795,0,NA,0.00126197090488563,0,NA
"30-35",0.224694854754767,0.000139810671528769,1.333900109552,0,0,0,0.129115631695098,7.22091796155731e-05,0.67304034261374,0,0,0,0,0,0,0,0,0,0,0,0,0.00292072236076022,1.54751055911081e-305,NA,0.00229296238964882,0,NA,0.00125725755441358,0,NA
"36-47",0.745768024043159,0.0148868530631106,3.05449450637474,0.170921424434811,1.69152134326119e-05,0.981424465703853,0.42209859359635,0.000165958068459296,2.26649662500903,0,0,0,0,0,0,0,0,0,0,0,0,0.00190627520349594,0,NA,0.00166585896835953,0,NA,0.000914413519668737,0,NA
"48-59",1.40550512970338,0.103211849251187,4.46957640073335,0.467763491775218,0.000669512410301232,2.40808526586632,0.33897371785197,3.8002908026377e-05,2.02197762159667,0.164199559436711,1.11823244212502e-05,0.960149354042526,0,0,0,0,0,0,0,0,0,0.00121475949081276,0,NA,0.00117285820108503,0,NA,0.000648824882269245,0,NA
"60-71",2.41172369724858,0.408385516345633,6.23827301400548,0.948120670323357,0.0390418347204784,3.51666221289642,0.351480410787854,9.38965262206329e-05,2.05481735371084,0.194054025049388,1.32154743337668e-05,1.13472196539198,0.071418823480342,1.5172002526661e-11,0.597016515549613,0,0,0,0,0,0,0.001666004542397,0,NA,0.00137464597680927,0,NA,0.000756958238595096,0,NA
"72-83",1.68804718199225,0.362626278671346,4.01309296489508,1.6691811132449,0.15724449919011,4.97189428123217,0.874582575541185,0.0379288113630245,3.31936862530867,0,0,0,0.248968282020761,1.14459920248292e-05,1.66687942598648,0,0,0,0.120956906662726,2.6538408503733e-07,0.811047642800492,0.00221400791557149,0,NA,0.00135348661453477,0,NA,0.000729664365849584,0,NA
"84-95",0,0,0,2.77199366496028,0.55828646054304,6.81792757975731,1.8242683943348,0.209969104472404,5.23511276627427,0.0579063273385167,5.92420695872467e-14,0.523577374588184,0.320083308645214,1.39748576120502e-05,1.96437804869563,0.12413273638606,3.81199853681818e-07,0.822876119961976,0.214520515484532,3.13651698656422e-07,1.55630545955528,0.00264368650048074,0,NA,0.00132339410572634,0,NA,0.000725422510927417,0,NA
"96-107",6.08171232356164,3.26241748627314,9.76439800229866,5.09171564459203,1.72600413913544,10.3199390684511,1.27365156449126,0.195324649363827,3.34181293085842,0.19228893065071,3.69553085865142e-07,1.4406185428441,0.237064090478853,5.30760342942456e-07,1.65799631953749,0.304658863929583,7.83209079859415e-06,1.91248839432727,0.0845844336742378,1.88634408637869e-11,0.706484537304661,0.00277352490776177,0,NA,0.00133777714453815,0,NA,0.000746881820503574,0,NA
"108-119",13.3752819073376,7.19554016515311,21.4388705227522,7.11436110201558,2.88811879043978,13.2147229790172,0,0,0,0.75235269414633,0.0329538397460566,2.95890515740097,0.4506912464493,0.00310791642136234,2.24590175738627,0.277513411915582,8.72615278590103e-06,1.79984543336401,0,0,0,0.00249126107800764,0,NA,0.00123067820441907,0,NA,0.00067953917383599,0,NA
"120-131",12.8515676046745,6.81687199858864,20.7696378308343,4.07743460476224,1.70555385779084,7.46512360955326,1.80489760594727,0.4851822666978,3.97550997602799,1.61241401497326,0.143671890542649,4.86719207828057,0.895126237793245,0.0184299064922365,3.45468351541205,0.21977724750386,9.36482874795843e-08,1.59259228077779,0,0,0,0.00210385319521399,0,NA,0.000993757934561853,0,NA,0.000558415885416278,0,NA
"132-143",10.9280797091433,5.45165433088884,18.2857467579801,0,0,0,3.42265926210476,0.82089303749384,7.87317976799436,1.80047339560493,0.185765194299384,5.2176550652067,0.758290611926826,0.017474038805544,3.08741130603433,0.23277184118776,1.20770094776748e-07,1.64778687393766,0,0,0,0.0017995677803066,0,NA,0.000783925387685979,0,NA,0.00045704269363645,0,NA
"144-155",8.93459125815104,4.07586039118209,15.671663057918,2.34455302248839,0.773753955285939,4.77050071228875,2.68906008934146,0.490288595672108,6.72440964197076,1.56610438412362,0.123292411407601,4.79633693154537,0.347018220253795,4.09505360205183e-05,2.05044716587178,0.251543692182692,1.01774170906037e-06,1.71694641893269,0,0,0,0.00171233135997773,0,NA,0.00074148946489887,0,NA,0.00042571679328506,0,NA
"156-167",6.12506375118693,2.3662224405442,11.7501569421428,3.83388888237982,1.07445431119367,8.44102720061696,2.05727943094283,0.281664504114281,5.64195080539387,1.14821679652199,0.0616388415581617,3.94985547476619,0.227718054935009,8.43515643909431e-07,1.60819711616551,0.209839765202632,1.18387744603147e-06,1.50122479905718,0.0153081599824646,2.8564654992897e-49,0.173234854761186,0.00139843031496054,0,NA,0.000615710968902307,0,NA,0.000343050133976123,0,NA
"168-179",2.19802485700344,0.504528982004157,5.5688346619666,1.37688500047391,0.189112219197415,4.12234501571546,0.886245938711722,0.0566191332358868,3.16531572550825,0.428652209639011,0.00297869727321557,2.04193790168498,0.0998348803572292,4.15418442725744e-11,0.855148825811381,0.0615736904861806,2.68019869395813e-15,0.577573237492678,0.0202547296715469,3.37582286732949e-49,0.205944718438818,0.000508697965195358,0,NA,0.000239308912980193,0,NA,0.000131639362147169,0,NA
"180-191",0.278154182009228,0.000106190167514624,1.65913046921698,0.171441763976783,2.98974262325255e-07,1.27476453753364,0.111083192523029,3.915566895876e-10,0.924839030116637,0.047068864108719,6.54556963853182e-22,0.469406918051731,0.0176162423284225,9.80778252109864e-61,0.164056438753319,0,0,0,0.00336587544746451,0,NA,0,0,0,1.93879552621769e-05,0,NA,1.06600802238589e-05,0,NA
"192-203",0.0526664641361288,2.19173134141884e-21,0.544549507818372,0.0409014151137203,1.45525075332533e-26,0.426579683430643,0.0197397261028161,2.98965511437713e-53,0.192468953431682,0.00656231860211251,2.98478566927007e-144,0.0340472833677815,0.00358315586382551,2.00240541818698e-243,0.00673878341247663,0,0,0,0.00108363722653215,0,NA,8.04530060837325e-05,0,NA,4.66957028167991e-05,0,NA,2.55920601220682e-05,0,NA
"204-",0.0113952909395862,2.17650984945837e-77,0.112742635296988,0.0120560078461816,1.63318317127921e-111,0.0767177724186367,0.00557572867038068,2.11966361935568e-241,0.00766019293496015,0.000584318921653112,0,NA,0,0,0,0,0,0,0.000150336867869945,0,NA,0.000148001807806963,0,NA,7.6107787279145e-05,0,NA,4.28082537212493e-05,0,NA
"p1",0,0,0,0.0049479905595825,1.27499489905277e-176,0.0198728095811067,0.00231915806439601,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,6.25429791747951e-05,0,NA,3.28519783646149e-05,0,NA,1.92905566513823e-05,0,NA
"p2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
